1.629245589855E+018,0.027,-0.043,10.033
1.62924558992844E+018,0.004,0.006,10.037
1.62924559000182E+018,0.013,-0.035,10.011
1.62924559007671E+018,-0.02,-0.033,10.005
1.62924559015279E+018,0.009,-0.049,10.027
1.62924559022795E+018,0.002,0.004,10.048
1.6292455903031E+018,-0.006,-0.016,10.037
1.62924559037788E+018,0.027,-0.009,10.027
1.62924559045202E+018,-0.001,-0.011,10.057
1.62924559052764E+018,0.003,-0.012,10.035
1.6292455906024E+018,0.026,-0.011,10.078
1.62924559067918E+018,-0.019,-0.028,10.011
1.62924559075321E+018,0.035,-0.008,10.027
1.62924559082923E+018,0.019,-0.007,10.004
1.62924559090339E+018,0.006,-0.013,10.032
1.62924559097785E+018,0.022,-0.001,10.014
1.62924559105212E+018,0.015,-0.034,9.989
1.62924559112803E+018,0.011,-0.012,10.092
1.62924559120294E+018,0.013,-0.029,10.047
1.62924559127903E+018,0.021,-0.013,10.032
1.62924559135255E+018,0.007,-0.026,10.006
1.62924559142823E+018,0.023,-0.036,10.035
1.62924559150366E+018,0.025,-0.019,10.06
1.62924559157776E+018,0.027,-0.033,10.012
1.62924559165263E+018,0.014,-0.019,10.05
1.62924559172751E+018,-0.011,-0.01,10.059
1.62924559180451E+018,0.028,-0.019,10.048
1.62924559187929E+018,0.005,0.012,10.04
1.62924559195433E+018,0.015,-0.03,10.046
1.62924559202894E+018,-0.002,-0.027,10.06
1.62924559210344E+018,0.012,0.019,10.019
1.62924559217987E+018,0.032,-0.008,10.086
1.6292455922545E+018,0.017,-0.019,10.032
1.62924559232843E+018,0.031,-0.005,10.027
1.62924559240353E+018,0.025,-0.021,9.995
1.62924559247925E+018,0.009,0.001,10.044
1.62924559255397E+018,0.031,0.006,10.042
1.6292455926279E+018,0.01,-0.029,10.013
1.62924559270382E+018,0.01,-0.019,10.015
1.62924559277808E+018,0.024,-0.05,10.058
1.62924559285336E+018,0.007,-0.015,9.98
1.62924559292816E+018,0.014,-0.028,10.044
1.62924559300273E+018,-0.01,-0.021,10.001
1.6292455930784E+018,0.004,-0.013,10.026
1.62924559315333E+018,0.023,-0.006,10.069
1.62924559322851E+018,0.007,-0.017,10.034
1.62924559330337E+018,0.003,-0.048,10.034
1.62924559337885E+018,0.029,-0.021,10.032
1.6292455934537E+018,0.006,-0.009,10.01
1.62924559352848E+018,-0.002,-0.034,10.058
1.62924559360336E+018,0.01,-0.006,10.081
1.62924559367919E+018,0.001,-0.008,9.996
1.62924559375333E+018,0.018,-0.031,10
1.62924559382922E+018,-0.014,-0.015,10.049
1.62924559390393E+018,-0.006,-0.033,10.054
1.62924559398073E+018,0.018,0.004,10.049
1.6292455940542E+018,0.002,0.005,10.007
1.62924559412966E+018,0.008,-0.037,10.066
1.62924559420445E+018,0.023,-0.022,10.02
1.62924559427832E+018,0.006,-0.02,9.993
1.62924559435297E+018,0.019,-0.035,10.043
1.62924559442894E+018,0.007,-0.014,10.01
1.62924559450414E+018,0.017,-0.023,9.985
1.62924559457939E+018,0.006,-0.019,10.055
1.62924559465447E+018,-0.025,-0.033,10.054
1.62924559472823E+018,0.03,-0.033,10.049
1.6292455948044E+018,0.008,-0.021,10.006
1.62924559487826E+018,-0.012,-0.005,10.05
1.62924559495386E+018,0.026,-0.03,10.048
1.62924559503036E+018,0.024,-0.035,10.014
1.62924559510549E+018,0.003,-0.01,10.012
1.62924559517963E+018,0.02,-0.015,10.02
1.62924559525467E+018,0.023,-0.014,10.028
1.62924559532967E+018,0.011,-0.046,10.061
1.62924559540352E+018,0.026,-0.022,10.036
1.62924559548055E+018,0.025,-0.015,10.014
1.62924559555451E+018,-0.009,-0.012,10.016
1.62924559563004E+018,-0.007,-0.029,10.017
1.62924559570491E+018,0.01,0.007,10.039
1.62924559577969E+018,0.016,0.015,10.032
1.6292455958555E+018,0.005,-0.019,10.003
1.62924559592958E+018,0.005,-0.012,10.002
1.62924559600288E+018,0.019,-0.018,10.014
1.62924559607944E+018,0.049,-0.046,10.038
1.62924559615415E+018,0.033,-0.004,10.024
1.62924559622897E+018,0.018,-0.015,10.064
1.62924559630403E+018,0.032,-0.002,10.074
1.62924559637748E+018,0.007,-0.008,10.058
1.62924559645225E+018,0.01,0.011,10.014
1.62924559652689E+018,0.008,-0.025,10.034
1.62924559660176E+018,0.008,0.014,10.05
1.6292455966766E+018,0.011,-0.012,10.022
1.62924559675184E+018,0.035,-0.018,10.055
1.62924559682729E+018,0.029,-0.035,10.057
1.62924559690229E+018,0.031,-0.008,10.04
